Year,New construction,Renovation,Wrecking
2008,17,103,5
2009,10,89,6
2010,8,108,13
2011,4,99,11
2012,6,88,16
2013,6,92,13
2014,12,81,22
2015,12,109,7
2016,19,122,10
2017,27,133,12
2018,40,139,15
2019,27,115,6
2020,49,99,3
2021,61,101,3
2022,49,121,3
2023,39,84,3
2024,38,107,3
2025,47,65,3
2026,4,8,
